article_name,store_0,store_1,store_2
LEGO 42092 Technic ,N/A,23.46,29.49
Lego 41369 Friends Mias Haus mit Pferd,51.65,54.74,61.49
LEGO 42099 Technic 4x4 X-treme Off-Roader,158.88,190.48,N/A
LEGO 42098 Technic - Autotransporter,107.22,124.23,149.99
LEGO 42105 Technic Katamaran ,N/A,29.23,N/A
LEGO 76153 Marvel Super Heroes Avengers Helicarrier,91.62,100.83,N/A
LEGO 41425 Friends Olivias Blumengarten,7.75,9.74,9.49
LEGO 41395 Friends Freundschaftsbus,54.58,54.74,63.95
LEGO 41428 Friends Strandhaus mit Tretboot,40.65,39.76,47.49
LEGO 41378 Friends Rettungs-U-Boot für Delfine,N/A,30.82,38.95
LEGO 75979 Harry Potter Hedwig,30.84,31.81,39.49
LEGO 75968 Harry Potter Ligusterweg 4,56.58,57.31,65.95
LEGO 76153 Marvel Super Heroes Avengers Helicarrier,91.62,100.83,N/A
LEGO 76124 Marvel Super Heroes War Machine Buster,25.34,27.36,33.49
LEGO 41393 Friends Die große Backshow,28.26,27.28,38.95
LEGO 41380 Friends Leuchtturm mit Flutlicht,N/A,46.93,55.95
LEGO 41391 Friends Friseursalon von Heartlake City,15.49,81.87,17.95
LEGO 41375 Friends Vergnügungspark von Heartlake City,92.48,104.65,116.95
LEGO 41430 Friends Wasserpark von Heartlake City,76.02,81.87,91.49
LEGO 41127 Friends Spielspaß im Freizeitpark,29.98,N/A,N/A
LEGO 41311 Friends Heartlake Pizzeria,53.94,N/A,N/A
LEGO 42111 Technic Dom's Dodge Charger,78.34,N/A,N/A
LEGO 42100 Technic Liebherr Bagger R 9800,320.7,N/A,449.99
LEGO 42110 Technic Land Rover Defender,147.19,N/A,163.95
LEGO 42096 Technic Porsche 911 RSR,107.22,124.23,132.95
LEGO 42108 Technic Kran-LKW,72.13,81.61,92.49
LEGO 75956 Harry Potter Quidditch Turnier,29.23,31.27,37.49
LEGO 75957 Harry Potter Der Fahrende Ritter,29.23,31.27,39.49
LEGO 75958 Harry Potter Beauxbatons Kutsche,38.01,39.1,47.49
LEGO 75950 Harry Potter Aragogs Versteck,29.14,N/A,15.95
LEGO 75955 Harry Potter Hogwarts Express,N/A,N/A,N/A
LEGO 75945 Harry Potter Expecto Patronum,N/A,15.19,17.49
LEGO 76152 Marvel Lokis Rache,48.36,47.73,55.95
LEGO 76020 Marvel Der große Ausbruch,N/A,N/A,N/A
LEGO 76130 Marvel Stark Jet und die Drohne Attack,44.88,N/A,N/A
LEGO 76125 Marvel Super Heroes Iron Mans Werkstatt,46.78,46.93,55.49
LEGO 10847 Duplo Zahlenzug,14.61,15.19,N/A
LEGO 10863 Duplo Meine erste Steinebox mit Ziehtieren,21.44,N/A,29.3
LEGO 10909 Duplo Mein erster Bauspaß,15.59,N/A,N/A
LEGO 10840 Duplo Großer Jahrmarkt,59.99,62.56,70.85
LEGO 10914 Duplo Deluxe Steinebox Bauset mit Aufbewahrungsbox,38.01,N/A,47.49
LEGO 10875 Duplo Güterzug Kinderspielzeug,87.72,99.38,N/A
LEGO 42083 Technic Bugatti Chiron,265.14,306.42,310.95
LEGO 42092 Technic Rettungshubschrauber,N/A,23.46,29.49
LEGO 42088 Technic Hubarbeitsbühne,7.79,8.81,8.49
LEGO 42093 Technic Chevrolet Corvette ZR1,32.16,31.27,39.99
LEGO 41429 Friends Heartlake City Flugzeug,55.19,55.67,63.95
LEGO 41426 Friends Heartlake City Waffelhaus,15.85,14.61,17.95
LEGO 41351 Friends Tuning-Werkstatt,24.29,27.28,39.99
LEGO 41350 Friends Autowaschanlage,59.99,27.28,29.99
LEGO 41347 Friends Heartlake City Resort,N/A,97.47,89.99
LEGO 41394 Friends Krankenhaus von Heartlake City,N/A,N/A,55.95
LEGO 41392 Friends Camping in Heartlake City,N/A,N/A,29.99
LEGO 76144 MARVEL Hulk Helikopter Rettung,46.74,N/A,55.95
LEGO 76123 Marvel Captain America: Outrider-Attacke,N/A,N/A,24.95
LEGO 76103 Marvel Corvus Glaives Attacke,114.3,N/A,N/A
LEGO 76101 Marvel Super Heroes Outrider Dropship-Angriff,N/A,N/A,N/A
LEGO 76107 Marvel Super Heroes Thanos: Das ultimative Gefecht,N/A,N/A,72.8
LEGO 75946 Harry Potter Das Trimagische Turnier: der ungarische Hornschwanz,26.31,N/A,34.95
LEGO 75966 Harry Potter Der Raum der Wünsche auf Schloss Hogwart,15.23,14.61,17.49
